"nameWithOwner","npm_pkg","state","updated_version","updated_hash","updated_coverage_lines_total","updated_coverage_lines_covered","updated_coverage_lines_skipped","updated_coverage_lines_pct","updated_coverage_statements_total","updated_coverage_statements_covered","updated_coverage_statements_skipped","updated_coverage_statements_pct","updated_tests","prev_version","prev_hash","prev_coverage_lines_total","prev_coverage_lines_covered","prev_coverage_lines_skipped","prev_coverage_lines_pct","prev_coverage_statements_total","prev_coverage_statements_covered","prev_coverage_statements_skipped","prev_coverage_statements_pct","prev_tests","stats_failure","stats_success","testCases_change","testCases_insert","testCases_delete","testCases_unchanged","otherCodes_change","otherCodes_delete","otherCodes_unchanged","isBreaking","error","matsudaPrediction","maekawa_hasPotentialBreaking","maekawa_isInserted","maekawa_isDeleted","maekawa_isExpectChanged","maekawa_isAssertionInserted","maekawa","updated_coverage","prev_coverage"
"MikeMcl/big.js","big.js","success","3.2.0","c6fadd083a296b6af7d1b4ffcc28d64b1e67ea58",431,423,0,98.14,431,423,0,98.14,0,"3.1.3","86268e96b3dbf6db8ce319489f410277d9d4ea1b",429,421,0,98.13,429,421,0,98.13,0,0,21,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","4.0.0","e4e374f9fc8de782a6d6fcdbc4f53fcf69a4f484",387,381,0,98.44,443,435,0,98.19,0,"3.2.0","c6fadd083a296b6af7d1b4ffcc28d64b1e67ea58",431,423,0,98.14,431,423,0,98.14,0,0,21,0,0,0,0,1,0,1,false,"unexpected-error",true,,,,,,,,
"MikeMcl/big.js","big.js","success","4.0.1","dd21172cd1b3b6778959f2e3afe5ed7c4b0e127c",387,381,0,98.44,443,435,0,98.19,0,"4.0.0","e4e374f9fc8de782a6d6fcdbc4f53fcf69a4f484",387,381,0,98.44,443,435,0,98.19,0,0,21,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","4.0.2","a0d21bb5f92c81172b790100575c608769e369cb",387,381,0,98.44,443,435,0,98.19,0,"4.0.1","dd21172cd1b3b6778959f2e3afe5ed7c4b0e127c",387,381,0,98.44,443,435,0,98.19,0,0,21,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","5.0.0","8248fefc58bea2536b9d3237a17e3644036bd5f5",367,361,0,98.36,420,412,0,98.09,0,"4.0.2","a0d21bb5f92c81172b790100575c608769e369cb",387,381,0,98.44,443,435,0,98.19,0,0,21,0,0,0,0,1,0,1,false,"unexpected-error",true,,,,,,,,
"MikeMcl/big.js","big.js","success","5.0.1","5a3dc4dab51d3f1a92a4ddcb4026e74a37afcc8a",367,361,0,98.36,420,412,0,98.09,0,"5.0.0","8248fefc58bea2536b9d3237a17e3644036bd5f5",367,361,0,98.36,420,412,0,98.09,0,0,21,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","5.0.2","f7fe392ce23b0ce9f45e432240575e15cbb3727f",367,361,0,98.36,420,412,0,98.09,0,"5.0.1","5a3dc4dab51d3f1a92a4ddcb4026e74a37afcc8a",367,361,0,98.36,420,412,0,98.09,0,0,21,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","5.0.3","8759c0f106ecfbe76096ebc97807aac88bdf29f8",371,364,0,98.11,424,415,0,97.87,0,"5.0.2","f7fe392ce23b0ce9f45e432240575e15cbb3727f",367,361,0,98.36,420,412,0,98.09,0,0,21,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","5.1.1","e64eb7833f6f84c3598f65f2a8c73b1b965c5cf5",371,364,0,98.11,424,415,0,97.87,0,"5.0.3","8759c0f106ecfbe76096ebc97807aac88bdf29f8",371,364,0,98.11,424,415,0,97.87,0,0,28,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","5.1.2","b4db24d83856bc5ff83beecb37c53f05f0ab64da",371,364,0,98.11,424,415,0,97.87,0,"5.1.1","e64eb7833f6f84c3598f65f2a8c73b1b965c5cf5",371,364,0,98.11,424,415,0,97.87,0,0,28,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","failure","5.2.1","3e525eb5c8396c7fd06e4206b5534bc374ecfa15",372,369,0,99.19,425,420,0,98.82,0,"5.1.2","b4db24d83856bc5ff83beecb37c53f05f0ab64da",371,364,0,98.11,424,415,0,97.87,0,1,27,0,0,0,0,1,0,1,true,"unexpected-error",true,,,,,,,,
"MikeMcl/big.js","big.js","success","5.2.2","01b3ce3a6b0ba7b42442ea48ec4ffc88d1669ec4",372,369,0,99.19,425,420,0,98.82,0,"5.2.1","3e525eb5c8396c7fd06e4206b5534bc374ecfa15",372,369,0,99.19,425,420,0,98.82,0,0,27,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","failure","6.0.0","db8091b5802229f7896727100425fc07d496d1bc",408,404,0,99.01,451,445,0,98.66,10,"5.2.2","01b3ce3a6b0ba7b42442ea48ec4ffc88d1669ec4",372,369,0,99.19,425,420,0,98.82,0,2,25,0,10,0,0,0,15,0,true,"unexpected-error",true,,,,,,,,
"MikeMcl/big.js","big.js","success","6.0.1","e82dd1d5f62fe13159b7488e74b7b23861e1ac9e",408,404,0,99.01,451,445,0,98.66,10,"6.0.0","db8091b5802229f7896727100425fc07d496d1bc",408,404,0,99.01,451,445,0,98.66,10,0,25,0,0,0,10,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","6.0.2","581037601e596234f0bbc340165d62750cf7ac8b",406,403,0,99.26,449,444,0,98.88,10,"6.0.1","e82dd1d5f62fe13159b7488e74b7b23861e1ac9e",408,404,0,99.01,451,445,0,98.66,10,0,25,0,0,0,10,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","6.0.3","0f94dc9110d55c4f324a47ba6a2e832ce23ac589",420,417,0,99.28,460,455,0,98.91,10,"6.0.2","581037601e596234f0bbc340165d62750cf7ac8b",406,403,0,99.26,449,444,0,98.88,10,0,25,0,0,0,10,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","3.0.1","befa9634a1ce2a87ddd2b5e4e085bc8477f186df",425,417,0,98.11,425,417,0,98.11,0,"3.0.0","5afcb640507bf1ea1f4cf6b1f86bdf5d0cd6352c",425,417,0,98.11,425,417,0,98.11,0,0,4,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","3.0.2","4f53d153161304e4fa8955d531cf38521af43f84",425,417,0,98.11,425,417,0,98.11,0,"3.0.1","befa9634a1ce2a87ddd2b5e4e085bc8477f186df",425,417,0,98.11,425,417,0,98.11,0,0,5,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","3.1.1","68d84918079b2de00f7ff15815900325159c9d14",429,421,0,98.13,429,421,0,98.13,0,"3.0.2","4f53d153161304e4fa8955d531cf38521af43f84",425,417,0,98.11,425,417,0,98.11,0,0,5,0,0,0,0,1,0,1,false,,true,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","3.1.2","4ce616252c60e1447d4abce960b905f0f53578e2",429,421,0,98.13,429,421,0,98.13,0,"3.1.1","68d84918079b2de00f7ff15815900325159c9d14",429,421,0,98.13,429,421,0,98.13,0,0,5,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","3.1.3","86268e96b3dbf6db8ce319489f410277d9d4ea1b",429,421,0,98.13,429,421,0,98.13,0,"3.1.2","4ce616252c60e1447d4abce960b905f0f53578e2",429,421,0,98.13,429,421,0,98.13,0,0,5,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","2.5.1","851f90aea187540bc4e1743ecc566427dbcf1497",349,340,0,97.42,349,340,0,97.42,0,"2.5.0","b7aa456bd358e7681f2b338609b2e6abac97e4cb",349,340,0,97.42,349,340,0,97.42,0,0,1,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MikeMcl/big.js","big.js","success","3.0.0","5afcb640507bf1ea1f4cf6b1f86bdf5d0cd6352c",425,417,0,98.11,425,417,0,98.11,0,"2.5.1","851f90aea187540bc4e1743ecc566427dbcf1497",349,340,0,97.42,349,340,0,97.42,0,0,1,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"MoOx/reduce-function-call","reduce-function-call","success","1.0.2","0e5721cbbef019419abb593dce4862794cad4872",22,22,0,100,22,22,0,100,4,"1.0.1","eae61552a3ad386e221cb0315b6ac755393c5183",22,22,0,100,22,22,0,100,4,0,13,0,0,0,4,0,0,1,false,,false,false,false,false,false,false,,,
"MoOx/reduce-function-call","reduce-function-call","success","1.0.3","c03d492117d90398d4deb8af207928a00921f6aa",22,22,0,100,22,22,0,100,4,"1.0.2","0e5721cbbef019419abb593dce4862794cad4872",22,22,0,100,22,22,0,100,4,0,15,0,0,0,4,0,0,1,false,,false,false,false,false,false,false,,,
"MoOx/reduce-function-call","reduce-function-call","success","1.0.1","eae61552a3ad386e221cb0315b6ac755393c5183",22,22,0,100,22,22,0,100,4,"1.0.0","395cae7c72d76dddf4e8573d4e6c4fd25dfc1c4a",22,22,0,100,22,22,0,100,4,0,1,1,0,0,3,0,0,1,false,,true,false,false,false,false,false,,,
"One-com/one-color","onecolor","failure","3.0.5","92bbe2c9ca0f59ecae14fa631cac07ae9f7ebde5",322,237,0,73.6,323,238,0,73.68,13,"3.0.4","4a29ef5c57ff11064d4e15c0940929da11d34a43",322,237,0,73.6,323,238,0,73.68,13,1,10,4,0,0,9,1,0,1,true,,true,false,false,false,false,false,,,
"One-com/one-color","onecolor","success","3.1.0","a5fb8958e88775deab8b636a902fb5e269e8abb7",344,259,0,75.29,345,260,0,75.36,17,"3.0.5","92bbe2c9ca0f59ecae14fa631cac07ae9f7ebde5",322,237,0,73.6,323,238,0,73.68,13,0,13,0,4,0,13,0,0,1,false,,false,true,false,false,false,true,,,
"One-com/one-color","onecolor","success","2.4.1","8bc15d1fbb8c2730bf1290b946bc06eed6107660",0,0,0,"Unknown",0,0,0,"Unknown",0,"2.4.0","896d901df6bbe39caa07699d78af17ed7356e140",0,0,0,"Unknown",0,0,0,"Unknown",0,0,1,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"One-com/one-color","onecolor","success","2.4.2","e73054ef8ab93c92017b818ce90498c8e87f7409",454,269,0,59.25,761,481,0,63.2,0,"2.4.1","8bc15d1fbb8c2730bf1290b946bc06eed6107660",0,0,0,"Unknown",0,0,0,"Unknown",0,0,1,0,0,0,0,1,0,1,false,,true,false,false,false,false,false,,,
"One-com/one-color","onecolor","success","2.5.0","8d09dfeee4e17cb2aff7752cf4d66bcb6a2658d5",464,290,0,62.5,781,504,0,64.53,0,"2.4.2","e73054ef8ab93c92017b818ce90498c8e87f7409",454,269,0,59.25,761,481,0,63.2,0,0,1,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"One-com/one-color","onecolor","success","3.0.0","373abb9e498165f160073df9b1a0eeb72921db82",323,227,0,70.27,324,228,0,70.37,11,"2.5.0","8d09dfeee4e17cb2aff7752cf4d66bcb6a2658d5",464,290,0,62.5,781,504,0,64.53,0,0,1,0,11,0,0,1,2,1,false,,true,true,false,false,true,true,,,
"One-com/one-color","onecolor","success","3.0.1","78368f0407fcee0ee3d64979454173f931a96719",323,235,0,72.75,324,236,0,72.83,12,"3.0.0","373abb9e498165f160073df9b1a0eeb72921db82",323,227,0,70.27,324,228,0,70.37,11,0,1,0,1,0,11,0,0,1,false,,false,true,false,false,false,true,,,
"One-com/one-color","onecolor","success","3.0.2","0d403611f3875fa307b4323ba5a2014cfd5a7708",323,238,0,73.68,324,239,0,73.76,13,"3.0.1","78368f0407fcee0ee3d64979454173f931a96719",323,235,0,72.75,324,236,0,72.83,12,0,2,1,1,0,11,1,0,1,false,,true,true,false,false,false,true,,,
"One-com/one-color","onecolor","success","3.0.3","7beaca591326df380953a2c2cf960ecac7769976",323,238,0,73.68,324,239,0,73.76,13,"3.0.2","0d403611f3875fa307b4323ba5a2014cfd5a7708",323,238,0,73.68,324,239,0,73.76,13,0,2,0,0,0,13,0,0,1,false,,false,false,false,false,false,false,,,
"One-com/one-color","onecolor","success","3.0.4","4a29ef5c57ff11064d4e15c0940929da11d34a43",322,237,0,73.6,323,238,0,73.68,13,"3.0.3","7beaca591326df380953a2c2cf960ecac7769976",323,238,0,73.68,324,239,0,73.76,13,0,2,0,0,0,13,0,1,1,false,,true,true,false,false,false,true,,,
"Qix-/color-string","color-string","failure","1.0.0","86d1a14830bec127dbf47594a7d2290de3187f1e",96,93,0,96.87,96,93,0,96.87,0,"0.4.0","d62b66db7ab1879700af879ad4b3df6d91fa7f9f",108,105,0,97.22,108,105,0,97.22,0,2,2,0,0,0,0,1,0,0,true,,true,true,false,false,true,false,,,
"Qix-/color-string","color-string","success","1.0.1","c48a65dd513d3bd7a495129a254798f762880a03",96,93,0,96.87,96,93,0,96.87,0,"1.0.0","86d1a14830bec127dbf47594a7d2290de3187f1e",96,93,0,96.87,96,93,0,96.87,0,0,2,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.1.0","80d29270f5e75c90c7a5dca2274d3458e28c76bc",102,99,0,97.05,102,99,0,97.05,0,"1.0.1","c48a65dd513d3bd7a495129a254798f762880a03",96,93,0,96.87,96,93,0,96.87,0,0,2,0,0,0,0,1,0,0,false,,true,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.1.1","4164b3eb1c21334f894fafb38ba0f8215ef45ddf",102,99,0,97.05,102,99,0,97.05,0,"1.1.0","80d29270f5e75c90c7a5dca2274d3458e28c76bc",102,99,0,97.05,102,99,0,97.05,0,0,2,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.2.0","87d3802d91ba90d0d2d96777e5ae38607a826ee0",111,108,0,97.29,111,108,0,97.29,0,"1.1.1","4164b3eb1c21334f894fafb38ba0f8215ef45ddf",102,99,0,97.05,102,99,0,97.05,0,0,2,0,0,0,0,1,0,0,false,,true,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.3.0","30b06b1e5eed570ecebe9f42432f97417c46b5ee",113,110,0,97.34,113,110,0,97.34,0,"1.2.0","87d3802d91ba90d0d2d96777e5ae38607a826ee0",111,108,0,97.29,111,108,0,97.29,0,0,2,0,0,0,0,1,0,0,false,,true,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.3.1","0b68ed41a9a2c9f1b0bbe2fe5b7533642d185b69",113,110,0,97.34,113,110,0,97.34,0,"1.3.0","30b06b1e5eed570ecebe9f42432f97417c46b5ee",113,110,0,97.34,113,110,0,97.34,0,0,2,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.4.0","32f1603cbc7d2ff2747c7bb52bd5c19260ee43f3",113,110,0,97.34,113,110,0,97.34,0,"1.3.1","0b68ed41a9a2c9f1b0bbe2fe5b7533642d185b69",113,110,0,97.34,113,110,0,97.34,0,0,2,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","failure","1.5.0","efa8ffd4a0982edaa657f6aa7b0e0911748d5188",121,117,0,96.69,121,117,0,96.69,0,"1.4.0","32f1603cbc7d2ff2747c7bb52bd5c19260ee43f3",113,110,0,97.34,113,110,0,97.34,0,1,4,0,0,0,0,1,0,0,true,,true,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.5.1","554275a1699e28a1ccc1c40339d912cf9ab0c2ea",121,118,0,97.52,121,118,0,97.52,0,"1.5.0","efa8ffd4a0982edaa657f6aa7b0e0911748d5188",121,117,0,96.69,121,117,0,96.69,0,0,5,0,0,0,0,1,0,0,false,,true,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.5.2","06c3ad42fd60bb8e872a9ef275d3132656bc9c44",121,118,0,97.52,121,118,0,97.52,0,"1.5.1","554275a1699e28a1ccc1c40339d912cf9ab0c2ea",121,118,0,97.52,121,118,0,97.52,0,0,5,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.5.3","ad1e511f9d55b4ddf8afb3839635920d31f04a27",121,118,0,97.52,121,118,0,97.52,0,"1.5.2","06c3ad42fd60bb8e872a9ef275d3132656bc9c44",121,118,0,97.52,121,118,0,97.52,0,0,9,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","1.5.4","60f3f66477a298589288e3df6e895f88e6cd8e8e",121,118,0,97.52,121,118,0,97.52,0,"1.5.3","ad1e511f9d55b4ddf8afb3839635920d31f04a27",121,118,0,97.52,121,118,0,97.52,0,0,9,0,0,0,0,1,0,0,false,,true,true,false,false,true,false,,,
"Qix-/color-string","color-string","success","1.5.5","966ae4d80fc8f237674d099ce6214a9fb6a816bb",121,118,0,97.52,121,118,0,97.52,0,"1.5.4","60f3f66477a298589288e3df6e895f88e6cd8e8e",121,118,0,97.52,121,118,0,97.52,0,0,9,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","0.4.0","d62b66db7ab1879700af879ad4b3df6d91fa7f9f",108,105,0,97.22,108,105,0,97.22,0,"0.3.0","cb3a23eeadb4abe4a9233c7ba49c731bcb1cfb0a",107,104,0,97.19,112,109,0,97.32,0,0,3,0,0,0,0,1,0,0,false,,true,true,false,false,true,false,,,
"Qix-/color-string","color-string","success","0.2.2","9e8dec26f3dfa3ddd5554716f5be278678fcc8c1",105,102,0,97.14,110,107,0,97.27,0,"0.2.1","98287ac4bb44c06a653ba0774e4e6a50f6cc5aed",0,0,0,"Unknown",0,0,0,"Unknown",0,0,2,0,0,0,0,1,0,0,false,,true,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","0.2.3","0c7d85b8645919beab8a1d31d32a4e5e19393330",105,102,0,97.14,110,107,0,97.27,0,"0.2.2","9e8dec26f3dfa3ddd5554716f5be278678fcc8c1",105,102,0,97.14,110,107,0,97.27,0,0,2,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","0.2.4","f9f57e6f5f1861832e0377286bd1fc680bee0b35",105,102,0,97.14,110,107,0,97.27,0,"0.2.3","0c7d85b8645919beab8a1d31d32a4e5e19393330",105,102,0,97.14,110,107,0,97.27,0,0,2,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","0.3.0","cb3a23eeadb4abe4a9233c7ba49c731bcb1cfb0a",107,104,0,97.19,112,109,0,97.32,0,"0.2.4","f9f57e6f5f1861832e0377286bd1fc680bee0b35",105,102,0,97.14,110,107,0,97.27,0,0,2,0,0,0,0,1,0,0,false,,true,false,false,false,false,false,,,
"Qix-/color-string","color-string","success","0.2.1","98287ac4bb44c06a653ba0774e4e6a50f6cc5aed",0,0,0,"Unknown",0,0,0,"Unknown",0,"0.2.0","aff2ff82f3542135c703cae30cabd178081fddcc",0,0,0,"Unknown",0,0,0,"Unknown",0,0,1,0,0,0,0,0,0,1,false,,false,false,false,false,false,false,,,
"acornjs/acorn","acorn","failure","5.3.0","621f8691a840a4677e3153a3c06f0b7ecf9b8d46",3024,2958,0,97.81,3405,3298,0,96.85,0,"5.2.1","9924efe268e899665daeeaded9bf452ff1cb510b",3003,2930,0,97.56,3374,3254,0,96.44,0,2,115,0,0,0,0,1,0,1,true,"unexpected-error",true,,,,,,,,
"acornjs/acorn","acorn","failure","5.4.0","9a3bb727e60587e759797548167328f429a56e33",3081,3014,0,97.82,3469,3362,0,96.91,0,"5.3.0","621f8691a840a4677e3153a3c06f0b7ecf9b8d46",3024,2958,0,97.81,3405,3298,0,96.85,0,5,117,0,0,0,0,1,0,1,true,,true,true,false,false,false,true,,,
